,uwwName,uwwLatitude,uwwLongitude,the_geom
216,Haddington Wwtw,55.960440000000006,-2.7517400000000003,POINT (-2.7517399999999994 55.96044003261946)
217,South Milton ,50.2684084,-3.84573396,POINT (-3.8457339598293 50.26840844362851)
218,Hamiltons.T.W.,55.79439,-4.05468,POINT (-4.05468 55.794390032849826)
219,Yeoford ,50.77841732,-3.72029462,POINT (-3.7202946242053403 50.7784173537559)
220,Pelynt ,50.367263,-4.530901,POINT (-4.530901000000001 50.367263038826195)
221,Hawick Wwtw,55.43156,-2.77133,POINT (-2.77133 55.43156003334502)
222,Helensburgh S.T.W.,55.98347,-4.69298,POINT (-4.69298 55.983470032587334)
223,Huntlywwtw,57.45101,-2.77704,POINT (-2.7770399999999995 57.45101003045652)
224,Insch ,57.340309999999995,-2.59761,POINT (-2.59761 57.340310030622575)
225,Ballygowan,54.501999999999995,-5.7860000000000005,POINT (-5.786 54.50200003455949)
226,Ballykelly,55.049,-7.021,POINT (-7.021000000000002 55.049000033854554)
227,Inverclydew.W.T.Service,55.93605,-4.87868,POINT (-4.878679999999999 55.93605003265345)
228,Alness & Invergordon Wwtw,57.69106,-4.22457,POINT (-4.22457 57.69106003009372)
229,Bourn ,52.20252084,-0.04569775,POINT (-0.045697747 52.20252087718234)
230,Abingdon (Oxon ),51.65255524,-1.29024637,POINT (-1.2902463740000003 51.65255527771966)
231,Bourne ,52.76608465,-0.35752875,POINT (-0.35752875 52.76608468659406)
232,Bozeat ,52.22449426,-0.68016461,POINT (-0.680164613 52.22449429716011)
233,"Aldershot, Aldershot, Hants """,51.24685784,-0.73630526,POINT (-0.7363052550000001 51.24685787809194)
234,Brackley   ,52.02007194,-1.12638884,POINT (-1.1263888409999998 52.020071977364694)
235,"Alton, Alton, Hampshire """,51.15283331,-0.9590702,POINT (-0.9590701950000002 51.152833348175236)
236,"Ampney St Peter, Ampney St Pete """,51.70561723,-1.88028673,POINT (-1.8802867250000002 51.705617267669446)
237,Braintree ,51.86909466,0.56336229,POINT (0.563362292 51.86909469751252)
238,"Appleton, Abingdon, Oxon """,51.69526458,-1.36915439,POINT (-1.3691543860000002 51.695264617679264)
239,"Arborfield, Arborfield, Berks """,51.40045217,-0.89739639,POINT (-0.8973963940000002 51.40045220795344)
240,Inverurienew,57.27328000000001,-2.3675,POINT (-2.3675000000000006 57.273280030722745)
241,Ascot ,51.40612204,-0.72085034,POINT (-0.720850336 51.40612207794826)
242,Haughley ,52.21797807,0.96734137,POINT (0.9673413709999998 52.2179781071667)
243,"Ash Vale, Stratford Road, North """,51.2773761,-0.7311671,POINT (-0.731167095 51.27737613806466)
244,"Aylesbury, Rabans Lane, Aylesbu """,51.82670409,-0.85524338,POINT (-0.855243378 51.826704127553526)
245,Aood Bank ,52.25670871,-1.94986535,POINT (-1.9498653530000003 52.2567087471274)
246,Baslow ,53.24272228,-1.6216143,POINT (-1.6216142949999999 53.24272231606791)
